Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M
smithfield,2164,11977,20 to 39,SMITHFIELD,,360.0,450.0,0.68
south-coogee,2034,5491,40 to 59,SOUTH COOGEE,,598.0,1250.0,2.38
south-granville,2142,5516,20 to 39,SOUTH GRANVILLE,,400.0,465.0,0.76
south-hurstville,2221,5135,20 to 39,SOUTH HURSTVILLE,0.718,470.0,600.0,1.1875
south-maroota,2756,547,40 to 59,SOUTH MAROOTA,,,,
south-penrith,2750,11785,20 to 39,SOUTH PENRITH,0.512,360.0,430.0,0.629
south-turramurra,2074,3083,40 to 59,SOUTH TURRAMURRA,,,762.8535865950175,1.56
south-wentworthville,2145,6212,20 to 39,SOUTH WENTWORTHVILLE,0.58,420.0,500.0,0.788207
south-windsor,2756,5887,20 to 39,SOUTH WINDSOR,0.485,300.0,400.0,0.598
spring-farm,2570,4295,20 to 39,SPRING FARM,,340.0,490.0,0.667
stanhope-gardens,2768,9171,20 to 39,STANHOPE GARDENS,0.5375,450.0,570.0,0.865
stanmore,2048,7950,20 to 39,STANMORE,0.736,475.0,830.0,1.51
strathfield,2135,25803,20 to 39,STRATHFIELD,0.68375,510.0,700.0,2.25
